dim0,dim1,dim2,dim3,dim4,geo,year,value
A,TO_EMP,EMP_PT,M,PC,RS,2006,
A,TO_EMP,EMP_PT,M,PC,SE,2006,87.1
A,TO_EMP,EMP_PT,M,PC,SI,2006,
A,TO_EMP,EMP_PT,M,PC,SK,2006,75.5
A,TO_EMP,EMP_PT,M,PC,TR,2006,
A,TO_EMP,EMP_PT,M,PC,UK,2006,82.3
A,TO_EMP,EMP_PT,T,PC,AL,2006,
A,TO_EMP,EMP_PT,T,PC,AT,2006,87.2
A,TO_EMP,EMP_PT,T,PC,BE,2006,88.9
A,TO_EMP,EMP_PT,T,PC,BG,2006,74.2
A,TO_EMP,EMP_PT,T,PC,CH,2006,
A,TO_EMP,EMP_PT,T,PC,CY,2006,87.5
A,TO_EMP,EMP_PT,T,PC,CZ,2006,79.7
A,TO_EMP,EMP_PT,T,PC,DE,2006,90.1
A,TO_EMP,EMP_PT,T,PC,DK,2006,66.6
A,TO_EMP,EMP_PT,T,PC,EA,2006,87.1
A,TO_EMP,EMP_PT,T,PC,EA18,2006,87.1
A,TO_EMP,EMP_PT,T,PC,EA19,2006,87.1
A,TO_EMP,EMP_PT,T,PC,EA20,2006,
A,TO_EMP,EMP_PT,T,PC,EE,2006,87.3
A,TO_EMP,EMP_PT,T,PC,EL,2006,70.3
A,TO_EMP,EMP_PT,T,PC,ES,2006,78.1
A,TO_EMP,EMP_PT,T,PC,EU,2006,87.1
A,TO_EMP,EMP_PT,T,PC,EU27_2007,2006,87.1
A,TO_EMP,EMP_PT,T,PC,EU27_2020,2006,87.0
A,TO_EMP,EMP_PT,T,PC,EU28,2006,87.1
A,TO_EMP,EMP_PT,T,PC,FI,2006,73.7
A,TO_EMP,EMP_PT,T,PC,FR,2006,89.4
A,TO_EMP,EMP_PT,T,PC,HR,2006,74.6
A,TO_EMP,EMP_PT,T,PC,HU,2006,78.8
A,TO_EMP,EMP_PT,T,PC,IE,2006,89.5
A,TO_EMP,EMP_PT,T,PC,IS,2006,87.6
A,TO_EMP,EMP_PT,T,PC,IT,2006,80.3
A,TO_EMP,EMP_PT,T,PC,LT,2006,82.7
A,TO_EMP,EMP_PT,T,PC,LU,2006,93.1
